Date,Open,High,Low,Close
2008-10-20,4063.01,4282.67,4063.01,4282.67
2008-10-21,4282.67,4347.69,4212.37,4229.73
2008-10-22,4040.89,4040.89,4040.89,4040.89
2008-10-23,4040.89,4108.36,3927.57,4087.83
2008-10-24,4087.83,4087.83,3715.24,3883.36
2008-10-27,3883.36,3911.61,3665.21,3852.59
2008-10-28,3852.59,4034.02,3847.55,3926.38
2008-10-29,3926.38,4242.54,3926.38,4242.54
2008-10-30,4242.54,4352.47,4200.24,4291.65
2008-10-31,4291.65,4383.9,4195.15,4377.34
2008-11-03,4377.34,4443.28,4348.29,4443.28
2008-11-04,4639.5,4639.5,4639.5,4639.5
2008-11-05,4639.5,4639.5,4495.7,4530.73
2008-11-06,4530.73,4530.73,4260.26,4272.41
2008-11-07,4364.96,4364.96,4364.96,4364.96
2008-11-10,4364.96,4524.87,4364.96,4403.92
2008-11-11,4403.92,4403.92,4231.49,4246.69
2008-11-12,4246.69,4333.37,4134.51,4182.02
2008-11-13,4182.02,4198.67,4079.62,4169.21
2008-11-14,4169.21,4342.29,4169.21,4232.97
2008-11-17,4232.97,4236.41,4110.68,4132.16
2008-11-18,4132.16,4208.55,4033.4,4208.55
2008-11-19,4208.55,4213.2,3999.13,4005.68
2008-11-20,4005.68,4005.68,3812.19,3874.99
2008-11-21,3874.99,3946.67,3734.07,3780.96
2008-11-24,3780.96,4153.08,3780.96,4152.96
2008-11-25,4152.96,4268.34,4069.34,4171.25
2008-11-26,4171.25,4198.74,4050.67,4152.69
2008-11-27,4152.69,4241.7,4152.69,4226.1
2008-11-28,4226.1,4288.01,4192.46,4288.01
2008-12-01,4288.01,4288.01,4038.45,4065.49
2008-12-02,4065.49,4137.11,3973.26,4122.86
2008-12-03,4122.86,4190.93,4042.31,4169.96
2008-12-04,4169.96,4261.07,4090.04,4163.61
2008-12-05,4163.61,4163.61,4002.21,4049.37
2008-12-08,4300.06,4300.06,4300.06,4300.06
2008-12-09,4300.06,4412.96,4232.62,4381.26
2008-12-10,4381.26,4407.13,4329.95,4367.28
2008-12-11,4367.28,4430.28,4307.83,4388.69
2008-12-12,4388.69,4388.69,4201.86,4280.35
2008-12-15,4280.35,4340.7,4238.87,4277.56
2008-12-16,4277.56,4330.13,4246.1,4309.08
2008-12-17,4309.08,4341.12,4231.13,4324.19
2008-12-18,4324.19,4352.68,4282.6,4330.66
2008-12-19,4330.66,4330.66,4200.71,4286.93
2008-12-22,4286.93,4305.43,4219.82,4249.16
2008-12-23,4249.16,4307.09,4244.17,4255.98
2008-12-29,4216.59,4326.25,4216.59,4319.35
2008-12-30,4319.35,4406.07,4319.35,4392.68
2009-01-02,4434.17,4561.79,4430.02,4561.79
2009-01-05,4561.79,4618.11,4520.76,4579.64
2009-01-06,4579.64,4675.68,4562.01,4638.92
2009-01-07,4638.92,4638.92,4477.99,4507.51
2009-01-08,4507.51,4514.71,4410.48,4505.37
2009-01-09,4505.37,4534.81,4431.88,4448.54
2009-01-12,4448.54,4471.34,4402.29,4426.19
2009-01-13,4426.19,4426.19,4321.34,4399.15
2009-01-14,4399.15,4426.47,4115.43,4180.64
2009-01-15,4180.64,4199.39,4090.87,4121.11
2009-01-16,4121.11,4251.68,4121.11,4147.06
2009-01-19,4147.06,4251.92,4032.39,4108.47
2009-01-20,4108.47,4184.25,4060.57,4091.4
2009-01-21,4091.4,4112.84,4001.35,4059.88
2009-01-22,4059.88,4153.88,4046.37,4052.23
2009-01-23,4052.23,4070.75,3956.67,4052.47
2009-01-26,4097.46,4225.21,4076.86,4209.01
2009-01-27,4209.01,4211.03,4130.79,4194.41
2009-01-28,4194.41,4317.61,4194.41,4295.2
2009-01-29,4295.2,4295.2,4147.7,4190.11
2009-01-30,4190.11,4228.0,4125.2,4149.64
2009-02-02,4149.64,4149.64,4036.93,4077.78
2009-02-03,4077.78,4173.24,4043.37,4164.46
2009-02-04,4164.46,4262.73,4160.43,4228.6
2009-02-05,4228.6,4235.28,4133.52,4228.93
2009-02-06,4228.93,4330.73,4225.62,4291.87
2009-02-09,4291.87,4333.97,4244.04,4307.61
2009-02-10,4307.61,4309.49,4210.46,4213.08
2009-02-11,4213.08,4244.53,4182.1,4234.26
2009-02-12,4234.26,4234.26,4135.07,4202.24
2009-02-13,4202.24,4291.57,4168.01,4189.59
2009-02-16,4165.52,4189.05,4127.26,4134.75
2009-02-17,4097.47,4101.11,3995.39,4034.13
2009-02-18,4034.13,4056.48,3938.12,4006.83
2009-02-19,4006.83,4045.2,3983.91,4018.37
2009-02-20,4018.37,4018.37,3877.76,3889.06
2009-02-23,3889.06,3959.98,3844.9,3850.73
